(1)
position 0.5 -0.6 80 
rotation 0 0 0 
scale 0.1 0.1 0.1
move 0
(2)
position 0 0 80
rotation 0 0 0 
scale 0.1 0.1 0.1
move 1
(3)
position 0.2 0.6 80 
rotation 0 0 0 
scale 0.1 0.1 0.1
move 0
(4)
position 1.0 1.0 80
rotation 0 0 0 
scale 0.1 0.1 0.1
move 1
(5)
position 0.5 0.5 90 
rotation 0 0 0 
scale 0.1 0.1 0.1
move 2
(6)
position 1.5 0.5 100 
rotation 0 0 0 
scale 0.1 0.1 0.1
move 3
(7)
position 1.0 0.5 100 
rotation 0 0 0 
scale 0.1 0.1 0.1
move 3
(8)
position 0.5 0.5 100 
rotation 0 0 0 
scale 0.1 0.1 0.1
move 3
(9)
position 0.0 0.5 100 
rotation 0 0 0 
scale 0.1 0.1 0.1
move 3
(10)
position 1.5 -0.5 100 
rotation 0 0 0 
scale 0.1 0.1 0.1
move 3
(11)
position -0.8 -0.9 110 
rotation 0 0 0 
scale 0.1 0.1 0.1
move 0
